Date,Clicks,Visits
1/1/2020,369.0,781.0
1/2/2020,213.0,577.0
1/3/2020,405.0,733.0
1/4/2020,161.0,683.0
1/5/2020,140.0,967.0
1/6/2020,496.0,518.0
1/7/2020,193.0,931.0
1/8/2020,398.0,633.0
1/9/2020,398.0,611.0
1/10/2020,341.0,770.0
1/11/2020,414.0,770.0
1/12/2020,166.0,972.0
1/13/2020,264.0,990.0
1/14/2020,332.0,675.0
1/15/2020,370.0,525.0
1/16/2020,337.0,879.0
1/17/2020,418.0,746.0
1/18/2020,469.0,931.0
1/19/2020,277.0,539.0
1/20/2020,438.0,811.0
1/21/2020,172.0,609.0
1/22/2020,344.0,981.0
1/23/2020,389.0,901.0
1/24/2020,244.0,833.0
1/25/2020,191.0,645.0
1/26/2020,467.0,553.0
1/27/2020,327.0,804.0
1/28/2020,259.0,959.0
1/29/2020,205.0,884.0
1/30/2020,366.0,862.0
1/31/2020,239.0,656.0
2/1/2020,372.0,533.0
2/2/2020,360.0,638.0
2/3/2020,390.0,726.0
2/4/2020,443.0,835.0
2/5/2020,477.0,900.0
2/6/2020,120.0,641.0
2/7/2020,278.0,884.0
2/8/2020,123.0,520.0
2/9/2020,295.0,973.0
2/10/2020,265.0,515.0
2/11/2020,466.0,955.0
2/12/2020,483.0,850.0
2/13/2020,465.0,818.0
2/14/2020,321.0,854.0
2/15/2020,477.0,973.0
2/16/2020,267.0,739.0
2/17/2020,148.0,966.0
2/18/2020,345.0,755.0
2/19/2020,279.0,706.0
2/20/2020,394.0,697.0
2/21/2020,406.0,754.0
2/22/2020,306.0,877.0
2/23/2020,377.0,840.0
2/24/2020,467.0,895.0
2/25/2020,223.0,507.0
2/26/2020,333.0,689.0
2/27/2020,433.0,717.0
2/28/2020,283.0,595.0
2/29/2020,189.0,944.0
3/1/2020,483.0,635.0
3/2/2020,457.0,909.0
3/3/2020,500.0,543.0
3/4/2020,158.0,526.0
3/5/2020,272.0,754.0
3/6/2020,135.0,616.0
3/7/2020,372.0,685.0
3/8/2020,479.0,806.0
3/9/2020,338.0,899.0
3/10/2020,497.0,574.0
3/11/2020,335.0,586.0
3/12/2020,157.0,541.0
3/13/2020,368.0,919.0
3/14/2020,385.0,577.0
3/15/2020,438.0,719.0
3/16/2020,213.0,680.0
3/17/2020,415.0,723.0
3/18/2020,273.0,709.0
3/19/2020,473.0,532.0
3/20/2020,303.0,543.0
3/21/2020,315.0,688.0
3/22/2020,207.0,544.0
3/23/2020,448.0,621.0
3/24/2020,375.0,518.0
3/25/2020,374.0,698.0
3/26/2020,181.0,850.0
3/27/2020,219.0,796.0
3/28/2020,499.0,564.0
3/29/2020,310.0,519.0
3/30/2020,200.0,717.0
3/31/2020,273.0,618.0
4/1/2020,271.0,904.0
4/2/2020,263.0,597.0
4/3/2020,210.0,731.0
4/4/2020,490.0,592.0
4/5/2020,233.0,505.0
4/6/2020,443.0,686.0
4/7/2020,342.0,633.0
4/8/2020,111.0,839.0
4/9/2020,361.0,755.0
