Date,Clicks,Visits
7/19/2020,484.0,878.0
7/20/2020,173.0,817.0
7/21/2020,485.0,898.0
7/22/2020,482.0,779.0
7/23/2020,440.0,532.0
7/24/2020,294.0,636.0
7/25/2020,379.0,975.0
7/26/2020,150.0,774.0
7/27/2020,122.0,558.0
7/28/2020,441.0,812.0
7/29/2020,123.0,930.0
7/30/2020,341.0,897.0
7/31/2020,300.0,878.0
8/1/2020,106.0,848.0
8/2/2020,209.0,866.0
8/3/2020,470.0,934.0
8/4/2020,493.0,630.0
8/5/2020,365.0,987.0
8/6/2020,453.0,689.0
8/7/2020,227.0,874.0
8/8/2020,169.0,920.0
8/9/2020,113.0,571.0
8/10/2020,234.0,911.0
8/11/2020,489.0,516.0
8/12/2020,287.0,989.0
8/13/2020,264.0,1000.0
8/14/2020,272.0,731.0
8/15/2020,172.0,618.0
8/16/2020,396.0,896.0
8/17/2020,317.0,725.0
8/18/2020,157.0,965.0
8/19/2020,370.0,685.0
8/20/2020,236.0,544.0
8/21/2020,212.0,963.0
8/22/2020,160.0,981.0
8/23/2020,252.0,925.0
8/24/2020,357.0,933.0
8/25/2020,193.0,802.0
8/26/2020,462.0,942.0
8/27/2020,277.0,876.0
8/28/2020,171.0,513.0
8/29/2020,444.0,736.0
8/30/2020,328.0,848.0
8/31/2020,201.0,511.0
9/1/2020,288.0,534.0
9/2/2020,187.0,750.0
9/3/2020,472.0,524.0
9/4/2020,289.0,987.0
9/5/2020,394.0,864.0
9/6/2020,131.0,870.0
9/7/2020,150.0,874.0
9/8/2020,177.0,914.0
9/9/2020,287.0,779.0
9/10/2020,270.0,731.0
9/11/2020,371.0,894.0
9/12/2020,391.0,764.0
9/13/2020,167.0,915.0
9/14/2020,470.0,983.0
9/15/2020,392.0,621.0
9/16/2020,480.0,640.0
9/17/2020,386.0,565.0
9/18/2020,411.0,692.0
9/19/2020,187.0,918.0
9/20/2020,260.0,682.0
9/21/2020,420.0,746.0
9/22/2020,477.0,858.0
9/23/2020,373.0,579.0
9/24/2020,346.0,733.0
9/25/2020,327.0,527.0
9/26/2020,402.0,965.0
9/27/2020,238.0,978.0
9/28/2020,329.0,587.0
9/29/2020,172.0,823.0
9/30/2020,331.0,678.0
10/1/2020,114.0,808.0
10/2/2020,363.0,945.0
10/3/2020,334.0,654.0
10/4/2020,358.0,888.0
10/5/2020,288.0,816.0
10/6/2020,404.0,983.0
10/7/2020,402.0,680.0
10/8/2020,207.0,867.0
10/9/2020,443.0,952.0
10/10/2020,233.0,542.0
10/11/2020,260.0,763.0
10/12/2020,333.0,744.0
10/13/2020,433.0,731.0
10/14/2020,345.0,788.0
10/15/2020,303.0,711.0
10/16/2020,382.0,634.0
10/17/2020,364.0,681.0
10/18/2020,173.0,553.0
10/19/2020,116.0,615.0
10/20/2020,467.0,749.0
10/21/2020,192.0,592.0
10/22/2020,313.0,925.0
10/23/2020,105.0,650.0
10/24/2020,242.0,572.0
10/25/2020,133.0,853.0
10/26/2020,181.0,658.0
